month,db-name,value
2017-06,IBM Db2,191.245
2017-07,IBM Db2,197.466
2017-08,IBM Db2,198.338
2017-09,IBM Db2,194.59
2017-10,IBM Db2,194.062
2017-11,IBM Db2,189.58
2017-12,IBM Db2,190.276
2018-01,IBM Db2,189.973
2018-02,IBM Db2,186.664
2018-03,IBM Db2,188.947
2018-04,IBM Db2,185.608
2018-05,IBM Db2,185.636
2018-06,IBM Db2,186.197
2018-07,IBM Db2,181.841
2018-08,IBM Db2,181.062
2018-09,IBM Db2,179.686
2018-10,IBM Db2,179.874
2018-11,IBM Db2,180.746
2018-12,IBM Db2,179.849
2019-01,IBM Db2,179.423
2019-02,IBM Db2,177.198
2019-03,IBM Db2,176.052
2019-04,IBM Db2,174.438
2019-05,IBM Db2,172.201
2019-06,IBM Db2,174.14
2019-07,IBM Db2,172.952
2019-08,IBM Db2,171.56
2019-09,IBM Db2,170.772
2019-10,IBM Db2,172.602
2019-11,IBM Db2,171.348
2019-12,IBM Db2,168.697
2020-01,IBM Db2,165.551
2020-02,IBM Db2,162.559
2020-03,IBM Db2,165.63
2020-04,IBM Db2,162.638
2020-05,IBM Db2,161.807
2020-06,IBM Db2,163.169
2020-07,IBM Db2,162.453
2020-08,IBM Db2,161.243
2020-09,IBM Db2,161.9
2020-10,IBM Db2,161.623
2020-11,IBM Db2,160.433
2020-12,IBM Db2,157.172
2021-01,IBM Db2,157.611
2021-02,IBM Db2,156.012
2012-10,Redis,30.76
2012-11,Redis,29.24
2012-12,Redis,25.973
2013-01,Redis,32.034
2013-02,Redis,32.431
2013-03,Redis,35.58
2013-04,Redis,36.249
2013-05,Redis,34.221
2013-06,Redis,33.094
2013-07,Redis,32.193
2013-08,Redis,32.107
2013-09,Redis,36.013
2013-10,Redis,40.569
2013-11,Redis,51.776
2013-12,Redis,52.495
2014-01,Redis,55.815
2014-02,Redis,53.456
2014-03,Redis,58.463
2014-04,Redis,62.042
2014-05,Redis,65.131
2014-06,Redis,68.732
2014-07,Redis,70.797
2014-08,Redis,74.602
2014-09,Redis,79.377
2014-10,Redis,82.345
2014-11,Redis,87.875
2014-12,Redis,94.24
2015-01,Redis,99.208
2015-02,Redis,97.047
2015-03,Redis,94.552
2015-04,Redis,94.727
2015-05,Redis,95.49
2015-06,Redis,95.075
2015-07,Redis,98.808
2015-08,Redis,100.653
2015-09,Redis,98.795
2015-10,Redis,102.409
2015-11,Redis,100.536
2015-12,Redis,101.157
2016-01,Redis,102.072
2016-02,Redis,106.217
2016-03,Redis,111.239
2016-04,Redis,108.236
2016-05,Redis,104.494
2016-06,Redis,108.033
2016-07,Redis,107.322
2016-08,Redis,107.793
2016-09,Redis,109.543
2016-10,Redis,115.541
2016-11,Redis,119.892
2016-12,Redis,118.697
2017-01,Redis,114.035
2017-02,Redis,113.005
2017-03,Redis,114.358
2017-04,Redis,117.449
2017-05,Redis,118.886
2017-06,Redis,121.512
2017-07,Redis,121.896
2017-08,Redis,120.407
2017-09,Redis,122.053
2017-10,Redis,121.181
2017-11,Redis,123.235
2017-12,Redis,123.137
2018-01,Redis,127.02
2018-02,Redis,131.225
2018-03,Redis,130.11
2018-04,Redis,135.349
2018-05,Redis,136.301
2018-06,Redis,139.912
2018-07,Redis,138.575
2018-08,Redis,140.943
2018-09,Redis,145.29
2018-10,Redis,144.173
2018-11,Redis,146.828
2018-12,Redis,149.015
2019-01,Redis,149.447
2019-02,Redis,146.125
2019-03,Redis,146.376
2019-04,Redis,148.404
2019-05,Redis,146.127
2019-06,Redis,144.263
2019-07,Redis,144.081
2019-08,Redis,141.902
2019-09,Redis,142.913
2019-10,Redis,145.237
2019-11,Redis,146.234
2019-12,Redis,148.748
2020-01,Redis,151.421
2020-02,Redis,147.582
2020-03,Redis,144.81
2020-04,Redis,143.477
2020-05,Redis,145.644
